osmid,name,anlik_risk,geometry
892664c1237ffff,"H3:892664c1237ffff (suc=10, lamba_ariza=31)",50.55,"LINESTRING (-87.65928740079904 41.92060797936923, -87.65928740079904 41.92060797936923)"
892664cb45bffff,"H3:892664cb45bffff (suc=4, lamba_ariza=10)",20.57,"LINESTRING (-87.80479548471979 41.97007988899804, -87.80479548471979 41.97007988899804)"
892664cdc17ffff,"H3:892664cdc17ffff (suc=19, lamba_ariza=14)",59.41,"LINESTRING (-87.65300100762246 41.757607648367184, -87.65300100762246 41.757607648367184)"
89266456623ffff,"H3:89266456623ffff (suc=12, lamba_ariza=19)",48.98,"LINESTRING (-87.64881725173417 41.69274545997812, -87.64881725173417 41.69274545997812)"
892664d8e93ffff,"H3:892664d8e93ffff (suc=7, lamba_ariza=12)",30.52,"LINESTRING (-87.68501892890306 42.00982925929621, -87.68501892890306 42.00982925929621)"
892664cc013ffff,"H3:892664cc013ffff (suc=25, lamba_ariza=29)",75.78,"LINESTRING (-87.61789143978076 41.784643929794505, -87.61789143978076 41.784643929794505)"
89266457047ffff,"H3:89266457047ffff (suc=1, lamba_ariza=7)",6.4,"LINESTRING (-87.72079549845323 41.690238532302196, -87.72079549845323 41.690238532302196)"
892664ca807ffff,"H3:892664ca807ffff (suc=33, lamba_ariza=21)",79.98,"LINESTRING (-87.6825084340343 41.88435101719021, -87.6825084340343 41.88435101719021)"
892664cc533ffff,"H3:892664cc533ffff (suc=6, lamba_ariza=2)",19.89,"LINESTRING (-87.58367042825363 41.781508494962246, -87.58367042825363 41.781508494962246)"
892664cb5bbffff,"H3:892664cb5bbffff (suc=13, lamba_ariza=9)",43.15,"LINESTRING (-87.76089792251388 41.95200509859052, -87.76089792251388 41.95200509859052)"
892664cd6cfffff,"H3:892664cd6cfffff (suc=12, lamba_ariza=13)",43.6,"LINESTRING (-87.72584975507894 41.8095897969678, -87.72584975507894 41.8095897969678)"
892664cdca3ffff,"H3:892664cdca3ffff (suc=66, lamba_ariza=34)",94.71,"LINESTRING (-87.64581047017876 41.75594359332235, -87.64581047017876 41.75594359332235)"
892664ca423ffff,"H3:892664ca423ffff (suc=12, lamba_ariza=19)",50.37,"LINESTRING (-87.7054262434395 41.95205653989631, -87.7054262434395 41.95205653989631)"
892664cad8bffff,"H3:892664cad8bffff (suc=57, lamba_ariza=16)",84.89,"LINESTRING (-87.65348597518424 41.89685737963862, -87.65348597518424 41.89685737963862)"
892664ca3c3ffff,"H3:892664ca3c3ffff (suc=10, lamba_ariza=3)",31.67,"LINESTRING (-87.73215812574472 41.926192793723104, -87.73215812574472 41.926192793723104)"
892664cd663ffff,"H3:892664cd663ffff (suc=4, lamba_ariza=3)",14.03,"LINESTRING (-87.72653784264058 41.798561639647225, -87.72653784264058 41.798561639647225)"
892664ce357ffff,"H3:892664ce357ffff (suc=2, lamba_ariza=8)",13.13,"LINESTRING (-87.58818834263035 41.80814550141396, -87.58818834263035 41.80814550141396)"
8926645299bffff,"H3:8926645299bffff (suc=8, lamba_ariza=39)",47.59,"LINESTRING (-87.72102450836702 41.73658743359343, -87.72102450836702 41.73658743359343)"
892664cf697ffff,"H3:892664cf697ffff (suc=63, lamba_ariza=42)",95.5,"LINESTRING (-87.66228633780632 41.85728453126511, -87.66228633780632 41.85728453126511)"
892664cd95bffff,"H3:892664cd95bffff (suc=14, lamba_ariza=29)",59.97,"LINESTRING (-87.65932095125017 41.72392322503056, -87.65932095125017 41.72392322503056)"
892664cf1b7ffff,"H3:892664cf1b7ffff (suc=16, lamba_ariza=36)",64.41,"LINESTRING (-87.61574846715308 41.81772972799955, -87.61574846715308 41.81772972799955)"
892664c8b87ffff,"H3:892664c8b87ffff (suc=0, lamba_ariza=1)",0.45,"LINESTRING (-87.73113815642098 41.82519366239971, -87.73113815642098 41.82519366239971)"
892664ca2abffff,"H3:892664ca2abffff (suc=12, lamba_ariza=14)",45.87,"LINESTRING (-87.74114516350399 41.93306100145516, -87.74114516350399 41.93306100145516)"
89266457553ffff,"H3:89266457553ffff (suc=0, lamba_ariza=1)",0.95,"LINESTRING (-87.69313229733922 41.69980792207422, -87.69313229733922 41.69980792207422)"
892664cd99bffff,"H3:892664cd99bffff (suc=18, lamba_ariza=28)",65.8,"LINESTRING (-87.6412651474459 41.72932721951637, -87.6412651474459 41.72932721951637)"
892664cd533ffff,"H3:892664cd533ffff (suc=23, lamba_ariza=10)",61.2,"LINESTRING (-87.6635221668926 41.78880848429799, -87.6635221668926 41.78880848429799)"
892664d9ebbffff,"H3:892664d9ebbffff (suc=0, lamba_ariza=4)",3.12,"LINESTRING (-87.7647159637944 42.008921132833045, -87.7647159637944 42.008921132833045)"
892664cf33bffff,"H3:892664cf33bffff (suc=13, lamba_ariza=67)",60.47,"LINESTRING (-87.65913094958502 41.80857589459439, -87.65913094958502 41.80857589459439)"
892664cf2cfffff,"H3:892664cf2cfffff (suc=2, lamba_ariza=11)",17.84,"LINESTRING (-87.68776208407797 41.83437649914221, -87.68776208407797 41.83437649914221)"
892664cd397ffff,"H3:892664cd397ffff (suc=29, lamba_ariza=20)",75.42,"LINESTRING (-87.6966838204131 41.775694272631455, -87.6966838204131 41.775694272631455)"
892664cf077ffff,"H3:892664cf077ffff (suc=1, lamba_ariza=6)",8.0,"LINESTRING (-87.65473592719417 41.828348059070294, -87.65473592719417 41.828348059070294)"
892664cf447ffff,"H3:892664cf447ffff (suc=10, lamba_ariza=14)",41.45,"LINESTRING (-87.65209280121486 41.85332995391881, -87.65209280121486 41.85332995391881)"
892664cc373ffff,"H3:892664cc373ffff (suc=50, lamba_ariza=14)",82.2,"LINESTRING (-87.63318060344535 41.757813760073624, -87.63318060344535 41.757813760073624)"
892664c8b93ffff,"H3:892664c8b93ffff (suc=1, lamba_ariza=0)",2.26,"LINESTRING (-87.7329017350617 41.83039550264146, -87.7329017350617 41.83039550264146)"
892664cc933ffff,"H3:892664cc933ffff (suc=28, lamba_ariza=16)",72.25,"LINESTRING (-87.55926730086355 41.70870419697648, -87.55926730086355 41.70870419697648)"
892664cf157ffff,"H3:892664cf157ffff (suc=10, lamba_ariza=26)",49.37,"LINESTRING (-87.63857980272206 41.81981462230102, -87.63857980272206 41.81981462230102)"
892664c8993ffff,"H3:892664c8993ffff (suc=2, lamba_ariza=4)",10.28,"LINESTRING (-87.70339695528465 41.83478567293947, -87.70339695528465 41.83478567293947)"
892664c1a87ffff,"H3:892664c1a87ffff (suc=167, lamba_ariza=89)",99.8,"LINESTRING (-87.62535301186851 41.87915271349752, -87.62535301186851 41.87915271349752)"
8926641b2abffff,"H3:8926641b2abffff (suc=2, lamba_ariza=16)",22.77,"LINESTRING (-87.52857541265435 41.71594921701598, -87.52857541265435 41.71594921701598)"
892664c1ad3ffff,"H3:892664c1ad3ffff (suc=24, lamba_ariza=27)",74.4,"LINESTRING (-87.63853916804942 41.885401881460034, -87.63853916804942 41.885401881460034)"
892664c1b0bffff,"H3:892664c1b0bffff (suc=14, lamba_ariza=22)",55.25,"LINESTRING (-87.61834017719781 41.85832590653032, -87.61834017719781 41.85832590653032)"
892664c8cc7ffff,"H3:892664c8cc7ffff (suc=100, lamba_ariza=27)",94.44,"LINESTRING (-87.72539538044128 41.86704103095879, -87.72539538044128 41.86704103095879)"
892664cb023ffff,"H3:892664cb023ffff (suc=13, lamba_ariza=28)",55.78,"LINESTRING (-87.79414107636336 41.938831931272986, -87.79414107636336 41.938831931272986)"
892664d9d03ffff,"H3:892664d9d03ffff (suc=1, lamba_ariza=8)",8.86,"LINESTRING (-87.7225615774961 41.996035936821556, -87.7225615774961 41.996035936821556)"
892664cc08bffff,"H3:892664cc08bffff (suc=24, lamba_ariza=8)",60.22,"LINESTRING (-87.6166596575873 41.78755631592372, -87.6166596575873 41.78755631592372)"
8926645644bffff,"H3:8926645644bffff (suc=3, lamba_ariza=46)",33.91,"LINESTRING (-87.6397019499047 41.70500578260368, -87.6397019499047 41.70500578260368)"
892664c1037ffff,"H3:892664c1037ffff (suc=4, lamba_ariza=11)",22.37,"LINESTRING (-87.62971256520822 41.92498771970385, -87.62971256520822 41.92498771970385)"
892664c8313ffff,"H3:892664c8313ffff (suc=2, lamba_ariza=16)",20.67,"LINESTRING (-87.77287461792213 41.876365614557365, -87.77287461792213 41.876365614557365)"
892664cce83ffff,"H3:892664cce83ffff (suc=43, lamba_ariza=25)",87.24,"LINESTRING (-87.60021176278259 41.75177175056693, -87.60021176278259 41.75177175056693)"
892664d8ed7ffff,"H3:892664d8ed7ffff (suc=7, lamba_ariza=16)",35.06,"LINESTRING (-87.6934825622594 42.00857249544371, -87.6934825622594 42.00857249544371)"
892664d9a17ffff,"H3:892664d9a17ffff (suc=3, lamba_ariza=9)",16.27,"LINESTRING (-87.77753555406083 41.98784142876476, -87.77753555406083 41.98784142876476)"
892664c89cfffff,"H3:892664c89cfffff (suc=0, lamba_ariza=1)",0.28,"LINESTRING (-87.71726923439972 41.82999028094375, -87.71726923439972 41.82999028094375)"
892664cb1cfffff,"H3:892664cb1cfffff (suc=14, lamba_ariza=3)",39.83,"LINESTRING (-87.78392158643497 41.934886847762236, -87.78392158643497 41.934886847762236)"
89266452da3ffff,"H3:89266452da3ffff (suc=9, lamba_ariza=18)",43.19,"LINESTRING (-87.70473110827955 41.74719920239208, -87.70473110827955 41.74719920239208)"
892664525b3ffff,"H3:892664525b3ffff (suc=2, lamba_ariza=2)",8.63,"LINESTRING (-87.73672378393941 41.802507362575305, -87.73672378393941 41.802507362575305)"
892664ca097ffff,"H3:892664ca097ffff (suc=30, lamba_ariza=23)",78.51,"LINESTRING (-87.70788667081925 41.94621859584553, -87.70788667081925 41.94621859584553)"
892664cc3cbffff,"H3:892664cc3cbffff (suc=28, lamba_ariza=20)",74.72,"LINESTRING (-87.6366818399838 41.76821381245622, -87.6366818399838 41.76821381245622)"
892664ccad3ffff,"H3:892664ccad3ffff (suc=15, lamba_ariza=7)",45.72,"LINESTRING (-87.61899591184604 41.73535143498738, -87.61899591184604 41.73535143498738)"
8926641949bffff,"H3:8926641949bffff (suc=14, lamba_ariza=23)",56.14,"LINESTRING (-87.54069764469416 41.70598397012674, -87.54069764469416 41.70598397012674)"
89266419083ffff,"H3:89266419083ffff (suc=1, lamba_ariza=0)",1.42,"LINESTRING (-87.5463647284526 41.68333508668351, -87.5463647284526 41.68333508668351)"
892664cebcfffff,"H3:892664cebcfffff (suc=15, lamba_ariza=3)",43.36,"LINESTRING (-87.55388757617237 41.75860424093057, -87.55388757617237 41.75860424093057)"
892664c8053ffff,"H3:892664c8053ffff (suc=3, lamba_ariza=19)",25.48,"LINESTRING (-87.77573771774105 41.89781346453281, -87.77573771774105 41.89781346453281)"
892664cf437ffff,"H3:892664cf437ffff (suc=13, lamba_ariza=64)",60.78,"LINESTRING (-87.63469613178724 41.847708767998505, -87.63469613178724 41.847708767998505)"
892664cda9bffff,"H3:892664cda9bffff (suc=6, lamba_ariza=21)",35.58,"LINESTRING (-87.6915775419461 41.74096623968817, -87.6915775419461 41.74096623968817)"
892664cb54fffff,"H3:892664cb54fffff (suc=15, lamba_ariza=19)",55.41,"LINESTRING (-87.78202016367278 41.948852176116866, -87.78202016367278 41.948852176116866)"
892664cdc53ffff,"H3:892664cdc53ffff (suc=25, lamba_ariza=6)",59.45,"LINESTRING (-87.66738325040079 41.760934424820746, -87.66738325040079 41.760934424820746)"
8926645663bffff,"H3:8926645663bffff (suc=12, lamba_ariza=8)",40.14,"LINESTRING (-87.65179406875815 41.69503172276827, -87.65179406875815 41.69503172276827)"
892664ca007ffff,"H3:892664ca007ffff (suc=11, lamba_ariza=35)",53.78,"LINESTRING (-87.71580074472018 41.9368340693842, -87.71580074472018 41.9368340693842)"
89266457503ffff,"H3:89266457503ffff (suc=6, lamba_ariza=17)",33.55,"LINESTRING (-87.68297155894624 41.69586173859031, -87.68297155894624 41.69586173859031)"
892664cd683ffff,"H3:892664cd683ffff (suc=8, lamba_ariza=4)",26.05,"LINESTRING (-87.71321098276637 41.811470600358234, -87.71321098276637 41.811470600358234)"
892664c8d7bffff,"H3:892664c8d7bffff (suc=21, lamba_ariza=20)",66.4,"LINESTRING (-87.71236259517102 41.84164985781114, -87.71236259517102 41.84164985781114)"
892664ca8cbffff,"H3:892664ca8cbffff (suc=13, lamba_ariza=0)",35.8,"LINESTRING (-87.69447247972207 41.89351031822356, -87.69447247972207 41.89351031822356)"
892664c1ed3ffff,"H3:892664c1ed3ffff (suc=46, lamba_ariza=34)",91.19,"LINESTRING (-87.62990408808659 41.90581744164824, -87.62990408808659 41.90581744164824)"
892664cf5a7ffff,"H3:892664cf5a7ffff (suc=2, lamba_ariza=5)",10.9,"LINESTRING (-87.6083492456528 41.83521268653549, -87.6083492456528 41.83521268653549)"
892664cc017ffff,"H3:892664cc017ffff (suc=95, lamba_ariza=22)",91.98,"LINESTRING (-87.61491027952061 41.782354546973984, -87.61491027952061 41.782354546973984)"
892664cf197ffff,"H3:892664cf197ffff (suc=33, lamba_ariza=8)",68.75,"LINESTRING (-87.62048316230597 41.82522389784842, -87.62048316230597 41.82522389784842)"
892664d9b23ffff,"H3:892664d9b23ffff (suc=11, lamba_ariza=8)",36.86,"LINESTRING (-87.7559898733421 41.963683712079124, -87.7559898733421 41.963683712079124)"
892664c125bffff,"H3:892664c125bffff (suc=18, lamba_ariza=7)",51.2,"LINESTRING (-87.68269989402913 41.93081065870479, -87.68269989402913 41.93081065870479)"
892664c8173ffff,"H3:892664c8173ffff (suc=39, lamba_ariza=6)",71.06,"LINESTRING (-87.75001690824105 41.874307867290796, -87.75001690824105 41.874307867290796)"
89266456457ffff,"H3:89266456457ffff (suc=7, lamba_ariza=19)",37.58,"LINESTRING (-87.63129116988497 41.70625096931133, -87.63129116988497 41.70625096931133)"
892664cc83bffff,"H3:892664cc83bffff (suc=4, lamba_ariza=14)",23.84,"LINESTRING (-87.58429990770541 41.7241071003298, -87.58429990770541 41.7241071003298)"
89275936cabffff,"H3:89275936cabffff (suc=0, lamba_ariza=16)",13.68,"LINESTRING (-87.81657422072816 42.01760341290415, -87.81657422072816 42.01760341290415)"
892664cdc4fffff,"H3:892664cdc4fffff (suc=11, lamba_ariza=13)",40.72,"LINESTRING (-87.66983854465234 41.755110985808805, -87.66983854465234 41.755110985808805)"
892664cf127ffff,"H3:892664cf127ffff (suc=68, lamba_ariza=38)",95.55,"LINESTRING (-87.62366103196521 41.80836616309094, -87.62366103196521 41.80836616309094)"
892664cf40fffff,"H3:892664cf40fffff (suc=72, lamba_ariza=25)",92.27,"LINESTRING (-87.64488737740594 41.85166477209993, -87.64488737740594 41.85166477209993)"
892759368afffff,"H3:892759368afffff (suc=0, lamba_ariza=5)",3.9,"LINESTRING (-87.82213986868393 41.99486171560551, -87.82213986868393 41.99486171560551)"
892664528a7ffff,"H3:892664528a7ffff (suc=8, lamba_ariza=28)",45.16,"LINESTRING (-87.73119647701502 41.740531505441034, -87.73119647701502 41.740531505441034)"
892664ce233ffff,"H3:892664ce233ffff (suc=3, lamba_ariza=9)",18.97,"LINESTRING (-87.595900288394 41.81793105753853, -87.595900288394 41.81793105753853)"
892664cd4b7ffff,"H3:892664cd4b7ffff (suc=36, lamba_ariza=106)",89.28,"LINESTRING (-87.67475795114292 41.80898933694607, -87.67475795114292 41.80898933694607)"
892664d8ecbffff,"H3:892664d8ecbffff (suc=4, lamba_ariza=18)",30.25,"LINESTRING (-87.70194555744483 42.00731515503356, -87.70194555744483 42.00731515503356)"
892664523c3ffff,"H3:892664523c3ffff (suc=0, lamba_ariza=26)",20.24,"LINESTRING (-87.79213560910063 41.78331292327196, -87.79213560910063 41.78331292327196)"
892664d9e5bffff,"H3:892664d9e5bffff (suc=1, lamba_ariza=12)",13.07,"LINESTRING (-87.7876402378099 42.010975385194875, -87.7876402378099 42.010975385194875)"
89266456507ffff,"H3:89266456507ffff (suc=0, lamba_ariza=1)",0.67,"LINESTRING (-87.60030648871513 41.68628697002036, -87.60030648871513 41.68628697002036)"
89275936d4bffff,"H3:89275936d4bffff (suc=4, lamba_ariza=16)",27.12,"LINESTRING (-87.81846784633625 42.003626491850476, -87.81846784633625 42.003626491850476)"
892664c8943ffff,"H3:892664c8943ffff (suc=0, lamba_ariza=1)",0.42,"LINESTRING (-87.72270987611724 41.82644845140127, -87.72270987611724 41.82644845140127)"
892664ca3bbffff,"H3:892664ca3bbffff (suc=17, lamba_ariza=27)",65.25,"LINESTRING (-87.71895071254524 41.91995268000773, -87.71895071254524 41.91995268000773)"
892664cf537ffff,"H3:892664cf537ffff (suc=36, lamba_ariza=8)",71.31,"LINESTRING (-87.61380031137354 41.831675266900966, -87.61380031137354 41.831675266900966)"
892664cd6abffff,"H3:892664cd6abffff (suc=3, lamba_ariza=4)",13.16,"LINESTRING (-87.71267627403729 41.80335573548795, -87.71267627403729 41.80335573548795)"
892664d8c47ffff,"H3:892664d8c47ffff (suc=28, lamba_ariza=13)",69.7,"LINESTRING (-87.67179240539247 42.003578506135774, -87.67179240539247 42.003578506135774)"
892664c84bbffff,"H3:892664c84bbffff (suc=14, lamba_ariza=60)",62.82,"LINESTRING (-87.74850730444265 41.91555098520103, -87.74850730444265 41.91555098520103)"
892664cb427ffff,"H3:892664cb427ffff (suc=6, lamba_ariza=20)",35.14,"LINESTRING (-87.78256867768742 41.95698009387076, -87.78256867768742 41.95698009387076)"
892664cf0b7ffff,"H3:892664cf0b7ffff (suc=8, lamba_ariza=9)",31.04,"LINESTRING (-87.63663855786065 41.8337605086316, -87.63663855786065 41.8337605086316)"
89266456697ffff,"H3:89266456697ffff (suc=23, lamba_ariza=59)",77.76,"LINESTRING (-87.64267917246858 41.70729260089892, -87.64267917246858 41.70729260089892)"
892664c8877ffff,"H3:892664c8877ffff (suc=3, lamba_ariza=13)",22.32,"LINESTRING (-87.73466570300826 41.83559761863407, -87.73466570300826 41.83559761863407)"
89266457567ffff,"H3:89266457567ffff (suc=1, lamba_ariza=7)",7.28,"LINESTRING (-87.6866460058973 41.68713357166971, -87.6866460058973 41.68713357166971)"
892664c1bd7ffff,"H3:892664c1bd7ffff (suc=15, lamba_ariza=2)",41.31,"LINESTRING (-87.61463854616042 41.867071451568044, -87.61463854616042 41.867071451568044)"
892664cdd57ffff,"H3:892664cdd57ffff (suc=19, lamba_ariza=27)",67.19,"LINESTRING (-87.64353716139708 41.742634395905974, -87.64353716139708 41.742634395905974)"
892664c1377ffff,"H3:892664c1377ffff (suc=30, lamba_ariza=19)",76.51,"LINESTRING (-87.64978823410726 41.90560789171644, -87.64978823410726 41.90560789171644)"
892664cb0c7ffff,"H3:892664cb0c7ffff (suc=2, lamba_ariza=11)",15.45,"LINESTRING (-87.8006906354144 41.9515349106911, -87.8006906354144 41.9515349106911)"
892664cb667ffff,"H3:892664cb667ffff (suc=0, lamba_ariza=1)",0.92,"LINESTRING (-87.82358595852955 41.953582158332324, -87.82358595852955 41.953582158332324)"
892664d9b53ffff,"H3:892664d9b53ffff (suc=3, lamba_ariza=5)",14.6,"LINESTRING (-87.77098683988336 41.975131553527106, -87.77098683988336 41.975131553527106)"
892664cb407ffff,"H3:892664cb407ffff (suc=0, lamba_ariza=5)",3.63,"LINESTRING (-87.78734281392343 41.96447752479728, -87.78734281392343 41.96447752479728)"
892664cc48bffff,"H3:892664cc48bffff (suc=40, lamba_ariza=18)",81.95,"LINESTRING (-87.60803273102829 41.80794576015402, -87.60803273102829 41.80794576015402)"
892664d890bffff,"H3:892664d890bffff (suc=55, lamba_ariza=34)",93.2,"LINESTRING (-87.65522688001873 41.967715849454834, -87.65522688001873 41.967715849454834)"
892664cdbdbffff,"H3:892664cdbdbffff (suc=5, lamba_ariza=4)",19.55,"LINESTRING (-87.68210552408392 41.72599968500996, -87.68210552408392 41.72599968500996)"
892664c8693ffff,"H3:892664c8693ffff (suc=20, lamba_ariza=5)",53.05,"LINESTRING (-87.77860345789674 41.91926660583304, -87.77860345789674 41.91926660583304)"
892664c8cbbffff,"H3:892664c8cbbffff (suc=88, lamba_ariza=50)",98.09,"LINESTRING (-87.71519588743195 41.863092004322816, -87.71519588743195 41.863092004322816)"
892664cac87ffff,"H3:892664cac87ffff (suc=35, lamba_ariza=27)",83.99,"LINESTRING (-87.6672079093077 41.9112293518047, -87.6672079093077 41.9112293518047)"
892664ce207ffff,"H3:892664ce207ffff (suc=21, lamba_ariza=9)",57.03,"LINESTRING (-87.59888294114205 41.82022183626949, -87.59888294114205 41.82022183626949)"
892664c8613ffff,"H3:892664c8613ffff (suc=8, lamba_ariza=21)",40.94,"LINESTRING (-87.78527319653033 41.912799498114964, -87.78527319653033 41.912799498114964)"
892664cd63bffff,"H3:892664cd63bffff (suc=15, lamba_ariza=6)",45.76,"LINESTRING (-87.7181141958038 41.79981541824417, -87.7181141958038 41.79981541824417)"
892664575c3ffff,"H3:892664575c3ffff (suc=1, lamba_ariza=10)",8.22,"LINESTRING (-87.68770387578563 41.70334222201142, -87.68770387578563 41.70334222201142)"
892664cc673ffff,"H3:892664cc673ffff (suc=40, lamba_ariza=4)",69.72,"LINESTRING (-87.64544169191055 41.79421879468889, -87.64544169191055 41.79421879468889)"
892664190dbffff,"H3:892664190dbffff (suc=0, lamba_ariza=2)",1.83,"LINESTRING (-87.56072000614975 41.68667390801378, -87.56072000614975 41.68667390801378)"
892664d83b7ffff,"H3:892664d83b7ffff (suc=11, lamba_ariza=21)",49.12,"LINESTRING (-87.69824860422754 42.01607875474337, -87.69824860422754 42.01607875474337)"
89275936cafffff,"H3:89275936cafffff (suc=0, lamba_ariza=21)",17.43,"LINESTRING (-87.81356959297737 42.01531422760043, -87.81356959297737 42.01531422760043)"
892664ccc43ffff,"H3:892664ccc43ffff (suc=9, lamba_ariza=26)",47.23,"LINESTRING (-87.58881257150405 41.75072593259637, -87.58881257150405 41.75072593259637)"
892664cd877ffff,"H3:892664cd877ffff (suc=8, lamba_ariza=8)",30.78,"LINESTRING (-87.66825956401887 41.73078326341923, -87.66825956401887 41.73078326341923)"
892664525bbffff,"H3:892664525bbffff (suc=24, lamba_ariza=14)",65.7,"LINESTRING (-87.7409354840752 41.801879844886486, -87.7409354840752 41.801879844886486)"
892664cc047ffff,"H3:892664cc047ffff (suc=32, lamba_ariza=9)",69.13,"LINESTRING (-87.62754815841417 41.78048540267696, -87.62754815841417 41.78048540267696)"
892664d8827ffff,"H3:892664d8827ffff (suc=10, lamba_ariza=13)",40.61,"LINESTRING (-87.66421225904224 41.97459365875051, -87.66421225904224 41.97459365875051)"
892664cc41bffff,"H3:892664cc41bffff (suc=44, lamba_ariza=35)",90.59,"LINESTRING (-87.61348061112763 41.80440969736502, -87.61348061112763 41.80440969736502)"
892664ca18bffff,"H3:892664ca18bffff (suc=26, lamba_ariza=16)",69.92,"LINESTRING (-87.69537355798975 41.92892856321826, -87.69537355798975 41.92892856321826)"
892664ccc4fffff,"H3:892664ccc4fffff (suc=18, lamba_ariza=17)",60.02,"LINESTRING (-87.59004521000135 41.747815094065615, -87.59004521000135 41.747815094065615)"
892664cc547ffff,"H3:892664cc547ffff (suc=9, lamba_ariza=19)",42.75,"LINESTRING (-87.59805757336439 41.78484474061924, -87.59805757336439 41.78484474061924)"
892664d9b6bffff,"H3:892664d9b6bffff (suc=7, lamba_ariza=20)",39.05,"LINESTRING (-87.77166651503151 41.964081691529, -87.77166651503151 41.964081691529)"
892664c858fffff,"H3:892664c858fffff (suc=36, lamba_ariza=23)",83.19,"LINESTRING (-87.73054065308793 41.90181804214722, -87.73054065308793 41.90181804214722)"
892664cd3afffff,"H3:892664cd3afffff (suc=13, lamba_ariza=15)",48.5,"LINESTRING (-87.69737840575254 41.76467042625281, -87.69737840575254 41.76467042625281)"
892664ca933ffff,"H3:892664ca933ffff (suc=76, lamba_ariza=12)",82.62,"LINESTRING (-87.6585935095579 41.866030897855666, -87.6585935095579 41.866030897855666)"
892664cf49bffff,"H3:892664cf49bffff (suc=35, lamba_ariza=9)",70.76,"LINESTRING (-87.63995928426444 41.86332547559232, -87.63995928426444 41.86332547559232)"
892664562a3ffff,"H3:892664562a3ffff (suc=0, lamba_ariza=1)",0.34,"LINESTRING (-87.6507488678626 41.678823644923135, -87.6507488678626 41.678823644923135)"
892664cc203ffff,"H3:892664cc203ffff (suc=36, lamba_ariza=11)",73.4,"LINESTRING (-87.64860814272917 41.77736730828108, -87.64860814272917 41.77736730828108)"
892664cc1abffff,"H3:892664cc1abffff (suc=29, lamba_ariza=19)",74.69,"LINESTRING (-87.59107083297029 41.76403838232008, -87.59107083297029 41.76403838232008)"
892664563dbffff,"H3:892664563dbffff (suc=2, lamba_ariza=13)",19.88,"LINESTRING (-87.64899991782657 41.67362921234184, -87.64899991782657 41.67362921234184)"
892664cb52bffff,"H3:892664cb52bffff (suc=15, lamba_ariza=38)",62.62,"LINESTRING (-87.7688011682939 41.94261684698102, -87.7688011682939 41.94261684698102)"
892664c1a13ffff,"H3:892664c1a13ffff (suc=94, lamba_ariza=37)",97.03,"LINESTRING (-87.63379558444264 41.87790355342515, -87.63379558444264 41.87790355342515)"
892664cc52fffff,"H3:892664cc52fffff (suc=39, lamba_ariza=17)",80.83,"LINESTRING (-87.58613786601997 41.775684732472044, -87.58613786601997 41.775684732472044)"
892664d9e73ffff,"H3:892664d9e73ffff (suc=3, lamba_ariza=11)",20.27,"LINESTRING (-87.77863213338065 42.00410568726063, -87.77863213338065 42.00410568726063)"
892664cf097ffff,"H3:892664cf097ffff (suc=20, lamba_ariza=49)",73.92,"LINESTRING (-87.64137803935381 41.8412549783501, -87.64137803935381 41.8412549783501)"
892664cd523ffff,"H3:892664cd523ffff (suc=43, lamba_ariza=23)",86.12,"LINESTRING (-87.66475088832765 41.785895720963566, -87.66475088832765 41.785895720963566)"
892664ce25bffff,"H3:892664ce25bffff (suc=43, lamba_ariza=16)",81.62,"LINESTRING (-87.61626644635726 41.82584740409933, -87.61626644635726 41.82584740409933)"
892664d8abbffff,"H3:892664d8abbffff (suc=21, lamba_ariza=15)",62.41,"LINESTRING (-87.69311454070481 41.98125211155142, -87.69311454070481 41.98125211155142)"
892664cf19bffff,"H3:892664cf19bffff (suc=19, lamba_ariza=63)",71.76,"LINESTRING (-87.62768401931409 41.82689036012214, -87.62768401931409 41.82689036012214)"
892664cf137ffff,"H3:892664cf137ffff (suc=41, lamba_ariza=22)",84.86,"LINESTRING (-87.62242899870574 41.81127945865525, -87.62242899870574 41.81127945865525)"
892664d9e53ffff,"H3:892664d9e53ffff (suc=2, lamba_ariza=13)",16.88,"LINESTRING (-87.783410555091 42.01160725365908, -87.783410555091 42.01160725365908)"
892664cdb0fffff,"H3:892664cdb0fffff (suc=1, lamba_ariza=22)",21.18,"LINESTRING (-87.67561840449389 41.713320730336996, -87.67561840449389 41.713320730336996)"
892664d9a0bffff,"H3:892664d9a0bffff (suc=17, lamba_ariza=7)",49.3,"LINESTRING (-87.785990687623 41.986578578522185, -87.785990687623 41.986578578522185)"
8926645605bffff,"H3:8926645605bffff (suc=3, lamba_ariza=13)",22.41,"LINESTRING (-87.6470679840593 41.68755013879221, -87.6470679840593 41.68755013879221)"
892664c1603ffff,"H3:892664c1603ffff (suc=37, lamba_ariza=28)",85.73,"LINESTRING (-87.65963496158342 41.947909862273505, -87.65963496158342 41.947909862273505)"
89266452c07ffff,"H3:89266452c07ffff (suc=4, lamba_ariza=1)",15.18,"LINESTRING (-87.73403216628586 41.76194692846762, -87.73403216628586 41.76194692846762)"
892664ccbcfffff,"H3:892664ccbcfffff (suc=2, lamba_ariza=5)",12.65,"LINESTRING (-87.60061763085712 41.713514200134355, -87.60061763085712 41.713514200134355)"
