osmid,name,anlik_risk,geometry
892664cb42bffff,"H3:892664cb42bffff (suc=0, lamba_ariza=3)",2.25,"LINESTRING (-87.78979304037387 41.95863752591996, -87.78979304037387 41.95863752591996)"
892664d994bffff,"H3:892664d994bffff (suc=28, lamba_ariza=10)",66.67,"LINESTRING (-87.74685197571799 41.97599398826688, -87.74685197571799 41.97599398826688)"
892664c12abffff,"H3:892664c12abffff (suc=14, lamba_ariza=6)",41.93,"LINESTRING (-87.6610468352207 41.92581713260922, -87.6610468352207 41.92581713260922)"
892664cacd3ffff,"H3:892664cacd3ffff (suc=23, lamba_ariza=8)",58.56,"LINESTRING (-87.68040752605458 41.917475284605274, -87.68040752605458 41.917475284605274)"
892664caa93ffff,"H3:892664caa93ffff (suc=64, lamba_ariza=8)",77.82,"LINESTRING (-87.70713506324272 41.891628382619835, -87.70713506324272 41.891628382619835)"
892664c8617ffff,"H3:892664c8617ffff (suc=13, lamba_ariza=20)",51.54,"LINESTRING (-87.7822766996065 41.91051188013042, -87.7822766996065 41.91051188013042)"
892664cebc7ffff,"H3:892664cebc7ffff (suc=17, lamba_ariza=0)",43.83,"LINESTRING (-87.5496753469305 41.759224520046345, -87.5496753469305 41.759224520046345)"
8926641938fffff,"H3:8926641938fffff (suc=6, lamba_ariza=21)",36.65,"LINESTRING (-87.55622940679298 41.66007334113686, -87.55622940679298 41.66007334113686)"
892664564d3ffff,"H3:892664564d3ffff (suc=11, lamba_ariza=33)",52.92,"LINESTRING (-87.62760425534563 41.71498007777214, -87.62760425534563 41.71498007777214)"
892664ca5afffff,"H3:892664ca5afffff (suc=12, lamba_ariza=14)",45.46,"LINESTRING (-87.67900523914508 41.93956550384491, -87.67900523914508 41.93956550384491)"
892664ca90fffff,"H3:892664ca90fffff (suc=43, lamba_ariza=9)",75.33,"LINESTRING (-87.66580142374958 41.86769535391519, -87.66580142374958 41.86769535391519)"
892664c8cdbffff,"H3:892664c8cdbffff (suc=22, lamba_ariza=26)",72.36,"LINESTRING (-87.73137822631624 41.871617453284905, -87.73137822631624 41.871617453284905)"
892664ca02bffff,"H3:892664ca02bffff (suc=30, lamba_ariza=34)",82.3,"LINESTRING (-87.71825898637081 41.93099708769853, -87.71825898637081 41.93099708769853)"
892664ca20bffff,"H3:892664ca20bffff (suc=9, lamba_ariza=9)",32.59,"LINESTRING (-87.75258853058183 41.93409122913953, -87.75258853058183 41.93409122913953)"
892664cc58bffff,"H3:892664cc58bffff (suc=9, lamba_ariza=21)",44.83,"LINESTRING (-87.58716274576688 41.79191355481906, -87.58716274576688 41.79191355481906)"
892664ca3a7ffff,"H3:892664ca3a7ffff (suc=29, lamba_ariza=16)",73.12,"LINESTRING (-87.71296265042182 41.91537324833557, -87.71296265042182 41.91537324833557)"
892664c114bffff,"H3:892664c114bffff (suc=19, lamba_ariza=5)",51.81,"LINESTRING (-87.63341584548805 41.916235516975945, -87.63341584548805 41.916235516975945)"
892664cce23ffff,"H3:892664cce23ffff (suc=21, lamba_ariza=16)",63.72,"LINESTRING (-87.60216071292686 41.73783982592783, -87.60216071292686 41.73783982592783)"
892664d8173ffff,"H3:892664d8173ffff (suc=35, lamba_ariza=16)",78.05,"LINESTRING (-87.68978382322143 42.017336052100084, -87.68978382322143 42.017336052100084)"
892664c13abffff,"H3:892664c13abffff (suc=28, lamba_ariza=11)",67.26,"LINESTRING (-87.64010787038052 41.90977592009495, -87.64010787038052 41.90977592009495)"
8926645638fffff,"H3:8926645638fffff (suc=15, lamba_ariza=13)",51.45,"LINESTRING (-87.63587293262296 41.66739382720089, -87.63587293262296 41.66739382720089)"
892664ca263ffff,"H3:892664ca263ffff (suc=25, lamba_ariza=28)",75.3,"LINESTRING (-87.75504175123056 41.92825393035422, -87.75504175123056 41.92825393035422)"
892664cc853ffff,"H3:892664cc853ffff (suc=8, lamba_ariza=7)",29.31,"LINESTRING (-87.5962060203837 41.73326237180431, -87.5962060203837 41.73326237180431)"
892664d881bffff,"H3:892664d881bffff (suc=3, lamba_ariza=10)",16.89,"LINESTRING (-87.6749633838501 41.98668368603454, -87.6749633838501 41.98668368603454)"
892664c8d97ffff,"H3:892664c8d97ffff (suc=38, lamba_ariza=32)",87.38,"LINESTRING (-87.69181240054935 41.852902649001756, -87.69181240054935 41.852902649001756)"
892664cc447ffff,"H3:892664cc447ffff (suc=75, lamba_ariza=18)",88.39,"LINESTRING (-87.6189275848779 41.800873575256134, -87.6189275848779 41.800873575256134)"
892664cc343ffff,"H3:892664cc343ffff (suc=11, lamba_ariza=3)",33.3,"LINESTRING (-87.6391415730694 41.76239027241846, -87.6391415730694 41.76239027241846)"
892664cae6bffff,"H3:892664cae6bffff (suc=111, lamba_ariza=24)",93.37,"LINESTRING (-87.71734037398609 41.89557915273337, -87.71734037398609 41.89557915273337)"
892664cb163ffff,"H3:892664cb163ffff (suc=69, lamba_ariza=7)",78.02,"LINESTRING (-87.78459755369738 41.923842435615796, -87.78459755369738 41.923842435615796)"
89266452c9bffff,"H3:89266452c9bffff (suc=6, lamba_ariza=32)",41.89,"LINESTRING (-87.73334642297564 41.77297012644899, -87.73334642297564 41.77297012644899)"
892664570cbffff,"H3:892664570cbffff (suc=1, lamba_ariza=3)",7.13,"LINESTRING (-87.72133031199567 41.698342266841074, -87.72133031199567 41.698342266841074)"
892664c8d83ffff,"H3:892664c8d83ffff (suc=51, lamba_ariza=30)",91.36,"LINESTRING (-87.69602977598967 41.85227609359835, -87.69602977598967 41.85227609359835)"
